n(Si-O) = 4 number fraction (%)
     
1.0 55210.0 61.978
2.0 33578.0 37.694
3.0 292.0 0.328
     
average CN: 1.3835000000000002  
     
mean lifetime: 183.05263157894737 timesteps
median lifetime: 130.0 timesteps
min lifetime: 1 timesteps
max lifetime: 807 timesteps
